000 | 0
001 | 1
002 | 4
003 | 6
004 | 12
005 | 15
006 | 54
007 | 70
008 | 32
009 | 36
010 | 160
011 | 187
012 | 768
013 | 845
014 | 924
015 | 1275
016 | 80
017 | 85
018 | 450
019 | 494
020 | 2500
021 | 2646
022 | 2794
023 | 3358
024 | 15000
025 | 15650
026 | 16302
027 | 17442
028 | 17584
029 | 19024
030 | 19710
031 | 20367
032 | 192
033 | 198
034 | 1224
035 | 1295
036 | 7776
037 | 8029
038 | 8284
039 | 9243
040 | 51840
041 | 53177
042 | 54516
043 | 56631
044 | 57156
045 | 59715
046 | 61088
047 | 62416
048 | 373248
049 | 381073
050 | 388900
051 | 397647
052 | 404508
053 | 413771
054 | 421632
055 | 429440
056 | 435680
057 | 445569
058 | 453444
059 | 461262
060 | 469140
061 | 476959
062 | 596750
063 | 606438
064 | 448
065 | 455
066 | 3234
067 | 3350
068 | 23324
069 | 23736
070 | 24150
071 | 25844
072 | 172872
073 | 175346
074 | 177822
075 | 181650
076 | 182704
077 | 187264
078 | 189774
079 | 192207
080 | 1344560
081 | 1361448
082 | 1378338
083 | 1396724
084 | 1412040
085 | 1431230
086 | 1448154
087 | 1464993
088 | 1479368
089 | 1499472
090 | 1516410
091 | 1533259
092 | 1550200
093 | 1567050
094 | 1753664
095 | 1772415
096 | 11294304
097 | 11412050
098 | 11529798
099 | 11649330
100 | 11765200
101 | 11885680
102 | 12003462
103 | 12121143
104 | 12235912
105 | 12357450
106 | 12475246
107 | 12592937
108 | 12710736
109 | 12828428
110 | 13144780
111 | 13264389
112 | 13177248
113 | 13300100
114 | 13417914
115 | 13535615
116 | 13653432
117 | 13771134
118 | 14214044
119 | 14334621
120 | 14124360
121 | 14242063
122 | 14708930
123 | 14829618
124 | 34114012
125 | 34389250
126 | 34664490
127 | 34942018
128 | 1024
129 | 1032
130 | 8320
131 | 8515
132 | 67584
133 | 68229
134 | 68876
135 | 71955
136 | 557056
137 | 561289
138 | 565524
139 | 572263
140 | 573860
141 | 581907
142 | 586176
143 | 590304
144 | 4718592
145 | 4751505
146 | 4784420
147 | 4819983
148 | 4850108
149 | 4887051
150 | 4920000
151 | 4952800
152 | 4981344
153 | 5019777
154 | 5052740
155 | 5085550
156 | 5118516
157 | 5151327
158 | 5469486
159 | 5504262
160 | 41943040
161 | 42205345
162 | 42467652
163 | 42732895
164 | 42992108
165 | 43258875
166 | 43521216
167 | 43783392
168 | 44040864
169 | 44309265
170 | 44571620
171 | 44833806
172 | 45096164
173 | 45358351
174 | 45934782
175 | 46198950
176 | 46138224
177 | 46408515
178 | 46670888
179 | 46933084
180 | 47195460
181 | 47457657
182 | 48221446
183 | 48486582
184 | 48244432
185 | 48506630
186 | 49301160
187 | 49566407
188 | 78886304
189 | 79306101
190 | 79725900
191 | 80149139
192 | 402653184
193 | 404750529
194 | 406847876
195 | 408948735
196 | 411042380
197 | 413145051
198 | 415242432
199 | 417339616
200 | 419431200
201 | 421535793
202 | 423633188
203 | 425730382
204 | 427827780
205 | 429924975
206 | 432394206
207 | 434493414
208 | 436208656
209 | 438315427
210 | 440412840
211 | 442510044
212 | 444607460
213 | 446704665
214 | 449391654
215 | 451491830
216 | 452996496
217 | 455093702
218 | 457814824
219 | 459915111
220 | 496015520
221 | 498270357
222 | 500525196
223 | 502784051
224 | 469763392
225 | 471872925
226 | 473970364
227 | 476067578
228 | 478165020
229 | 480262235
230 | 483257830
231 | 485359182
232 | 486554112
233 | 488651328
234 | 491692032
235 | 493793515
236 | 556793856
237 | 559153389
238 | 561512924
239 | 563876763
240 | 503332080
241 | 505429297
242 | 508533234
243 | 510634854
244 | 578713588
245 | 581085610
246 | 583457634
247 | 585834106
248 | 4947048696
249 | 4966996722
250 | 4986944750
251 | 5006897298
252 | 5026840560
253 | 5046795424
254 | 5066743486
255 | 5086691295
